"\"De vita beata\" / Sénèque ; texte latin, d'après l'édition de Koch, précédé d'une notice sur la vie de Sénèque, avec un résumé analytique de l'ouvrage, accompagné de notes... et suivi d'un appendice, par E. Maillet,...","Sénèque (0004 av. J.-C.-0065)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k5496839x","\"De vita beata\" / Sénèque ; texte latin, d'après l'édition de Koch, précédé d'une notice sur la vie de Sénèque, avec un résumé analytique de l'ouvrage, accompagné de notes... et suivi d'un appendice, par E. Maillet,... Sénèque (0004 av. J.-C.-0065) Gallica"
"\"Lorenzaccio\", mises en scène d'hier et d'aujourd'hui : [exposition, Avignon, Maison Jean Vilar, 1979] / Maison Jean Vilar ; [catalogue réd. par Monique Cornand et Melly Puaux] ; [introd. par Cécile Giteau]","Maison Jean Vilar (Avignon)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6533935g","\"Lorenzaccio\", mises en scène d'hier et d'aujourd'hui : [exposition, Avignon, Maison Jean Vilar, 1979] / Maison Jean Vilar ; [catalogue réd. par Monique Cornand et Melly Puaux] ; [introd. par Cécile Giteau] Maison Jean Vilar (Avignon) Gallica"
"A propos du raid Bruxelles-Ostende : notes et rapports, 27 août 1902 / Commandant Smits,...","","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6527609x","A propos du raid Bruxelles-Ostende : notes et rapports, 27 août 1902 / Commandant Smits,...  Gallica"
"A se tordre : histoires chatnoiresques / Alphonse Allais","Allais, Alphonse (1854-1905)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k61060558","A se tordre : histoires chatnoiresques / Alphonse Allais Allais, Alphonse (1854-1905) Gallica"
"A travers Montmartre / 300 dessins par Henry de Marandat ; texte par Octave Charpentier","Charpentier, Octave (1872-1940)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k1456796","A travers Montmartre / 300 dessins par Henry de Marandat ; texte par Octave Charpentier Charpentier, Octave (1872-1940) Gallica"
"A travers l'Algérie / par le Dr L.-M. Reuss,...","Reuss, Louis-Jean-Max (1849-19..)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k57888323","A travers l'Algérie / par le Dr L.-M. Reuss,... Reuss, Louis-Jean-Max (1849-19..) Gallica"
"A travers la Kabylie, par M. Charles Farine,...","Mont-Louis, René de (1818-1883)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k5788581j","A travers la Kabylie, par M. Charles Farine,... Mont-Louis, René de (1818-1883) Gallica"
"A-Z ou Le Salon en miniature / par Albert de La Fizelière","La Fizelière, Albert de (1819-1878)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k62148281","A-Z ou Le Salon en miniature / par Albert de La Fizelière La Fizelière, Albert de (1819-1878) Gallica"
"A. G. Perret et l'architecture du béton armé / par Paul Jamot","Jamot, Paul (1863-1939)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k63659200","A. G. Perret et l'architecture du béton armé / par Paul Jamot Jamot, Paul (1863-1939) Gallica"
"Abbatucci, garde des sceaux, ministre de la justice, etc. : sa vie comme magistrat, comme député et comme homme d'État, ses opinions sur les événements et les hommes célèbres de notre époque / par Jean de La Rocca,...","La Rocca, Jean de (1832-18..?)","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6559452p","Abbatucci, garde des sceaux, ministre de la justice, etc. : sa vie comme magistrat, comme député et comme homme d'État, ses opinions sur les événements et les hommes célèbres de notre époque / par Jean de La Rocca,... La Rocca, Jean de (1832-18..?) Gallica"
"Abeille / Anatole France, de l'Académie française ; 27 illustrations dessinées et gravées à l'eau-forte en couleurs et en noir par Gaston Bussière. Nombreuses lettres ornées en couleurs et or","France, Anatole (1844-1924)","","","Gallica","http://gallica.bnf.fr/ark:/12148/btv1b86002415","Abeille / Anatole France, de l'Académie française ; 27 illustrations dessinées et gravées à l'eau-forte en couleurs et en noir par Gaston Bussière. Nombreuses lettres ornées en couleurs et or France, Anatole (1844-1924) Gallica"
"Abraham Pinedo, docteur d'Amsterdam : contes hollandais / par M. Arnold de Costa","Costa, Arnold de","","","Gallica","http://gallica.bnf.fr/ark:/12148/bpt6k6530079m","Abraham Pinedo, docteur d'Amsterdam : contes hollandais / par M. Arnold de Costa Costa, Arnold de Gallica"
